date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:57	99243/99243	---M-Z	200	added ('OK')	text/html	etag:%22ee31adbddda2888f22d9e038123cdc88%22	https://demo.hasthemes.com/nelson-preview/nelson/index.php	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/index.php	(from )
10:49:58	221/221	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2008%20Oct%202021%2005:04:58%20GMT	https://demo.hasthemes.com/robots.txt		(from )
10:49:58	1150/1150	---M--	200	added ('OK')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/images/favicon.ico	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/images/favicon.ico	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:49:59	140936/140936	---MCZ	200	added ('OK')	text/css	etag:%2204aca1f4cd3ec3c05a75a879f3be75a3%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/css/vendor/bootstrap.min.css	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:49:59	32170/32170	---M-Z	200	added ('OK')	text/css	etag:%2273516a58ab0029a6de4f46aed248fd60%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/css/vendor/iconfont.min.css	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/css/vendor/iconfont.min.css	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:49:59	13254/13254	---MCZ	200	added ('OK')	text/css	etag:%2216129ed7f439e731f235c5b7b5f20b72%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/css/vendor/helper.css	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/css/vendor/helper.css	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:49:59	129169/129169	---MCZ	200	added ('OK')	text/css	etag:%223697df1ab6fcd01af26635b28a99771d%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/css/plugins/plugins.css	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/css/plugins/plugins.css	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:00	657465/657465	---M-Z	200	added ('OK')	text/css	etag:%22eae3b5cb674c006935ea72d53f5e3c29%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/css/style.css	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/css/style.css	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:00	15514/15514	---MCZ	200	added ('OK')	application/javascript	etag:%22da941a6e1e1df098744318f6d25ba13a%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/js/vendor/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/js/vendor/modernizr-2.8.3.min.js	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:00	1783/1783	---M--	200	added ('OK')	image/png	etag:%2203968d62806a4bfdde38dcd6fb43c24c%22	https://demo.hasthemes.com/nelson-preview/nelson/assets/images/logo.png	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/assets/images/logo.png	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:00	101694/101694	---MCZ	200	added ('OK')	text/html	etag:%2247fef13e5bc5d0aca835bf27981fafe5%22	https://demo.hasthemes.com/nelson-preview/nelson/index-2.php	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/index-2.php	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:01	146521/146521	---MCZ	200	added ('OK')	text/html	etag:%220148222c31b609df4d764559908a3ca0%22	https://demo.hasthemes.com/nelson-preview/nelson/shop.php	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/shop.php	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:02	61773/61773	---MCZ	200	added ('OK')	text/html	etag:%2285c4f0265132e5b6e286b6616d0f50de%22	https://demo.hasthemes.com/nelson-preview/nelson/about.php	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/about.php	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:02	53333/53333	---MCZ	200	added ('OK')	text/html	etag:%22b60d46544a71b58ad87338231896b080%22	https://demo.hasthemes.com/nelson-preview/nelson/compare.php	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/compare.php	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:03	53833/53833	---MCZ	200	added ('OK')	text/html	etag:%2265ad272c72af39335d0b3ea87cc49264%22	https://demo.hasthemes.com/nelson-preview/nelson/cart.php	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/cart.php	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
10:50:04	60293/60293	---MCZ	200	added ('OK')	text/html	etag:%22c215cd4a10a37a545981a39ceace82cb%22	https://demo.hasthemes.com/nelson-preview/nelson/checkout.php	C:/My%20Web%20Sites/S4R%20Furniture/demo.hasthemes.com/nelson-preview/nelson/checkout.php	(from https://demo.hasthemes.com/nelson-preview/nelson/index.php)
